FORENING_AKTORID;FORENING_ETTERNAVN;FYLKENUMMER;FYLKE;OVERLIGGENDE_FORENING_AKTØRID;FORENING_OVERLIGGENDE;KATEGORIKODE
10926;Buer/kornsjø Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10924;Halden Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10961;Nrof Moss;01;Østfold;10018;Follo Skyttersamlag;MIL
10925;Ise Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10931;Sarpsborg Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10932;Skjeberg Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10933;Torsnes Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10920;Borge Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10923;Fredrikstad Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10977;NROF Søndre Østfold;01;Østfold;10016;Østfold Skyttersamlag;MIL
10919;Aremark Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10929;Rødenes Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10934;Øymark Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10096;Rømskog Skytterlag;01;Østfold;10020;Akershus Skyttersamlag;DFS
10136;Båstad Skytterlag;01;Østfold;10018;Follo Skyttersamlag;DFS
10922;Eidsberg Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10942;NROF Fossumstrøget;01;Østfold;10018;Follo Skyttersamlag;MIL
10147;Trøgstad Skytterlag;01;Østfold;10018;Follo Skyttersamlag;DFS
10144;Spydeberg Skytterlag;01;Østfold;10018;Follo Skyttersamlag;DFS
10135;Askim Skytterlag;01;Østfold;10018;Follo Skyttersamlag;DFS
10143;Skiptvet Skytterlag;01;Østfold;10018;Follo Skyttersamlag;DFS
10921;Degernes Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10927;Rakkestad Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10930;Råde Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10994;HV-01 Oslofjord;01;Østfold;10016;Østfold Skyttersamlag;MIL
10141;Moss og Våler Skytterlag;01;Østfold;10018;Follo Skyttersamlag;DFS
10928;Rygge Skytterlag;01;Østfold;10016;Østfold Skyttersamlag;DFS
10145;Svinndal Skytterlag;01;Østfold;10018;Follo Skyttersamlag;DFS
10139;Hobøl Skytterlag;01;Østfold;10018;Follo Skyttersamlag;DFS
10148;Aas Skytterlag;02;Akershus;10018;Follo Skyttersamlag;DFS
10146;Såner skytterlag;02;Akershus;10018;Follo Skyttersamlag;DFS
10140;Kråkstad Skytterlag;02;Akershus;10018;Follo Skyttersamlag;DFS
10142;Ski Skytterlag;02;Akershus;10018;Follo Skyttersamlag;DFS
10138;Frogn og Drøbak Skytterlag;02;Akershus;10018;Follo Skyttersamlag;DFS
10940;NROF Follo;02;Akershus;10018;Follo Skyttersamlag;MIL
11024;FLO/Land - Base Kolsås;02;Akershus;10015;Drammen Skyttersamlag;MIL
10494;Oslo Vestre Skytterlag (avviklet);02;Akershus;10019;Oslo Skyttersamlag;DFS
10497;Østre Bærum Skytterlag;02;Akershus;10019;Oslo Skyttersamlag;DFS
10129;Asker Skytterlag;02;Akershus;10015;Drammen Skyttersamlag;DFS
10954;NROF Kongsberg;02;Akershus;10014;Numedal Skyttersamlag;MIL
10085;Høland/Bjørkelangen Skytterlag;02;Akershus;10020;Akershus Skyttersamlag;DFS
10097;Setskog Skytterlag;02;Akershus;10020;Akershus Skyttersamlag;DFS
10102;Søndre Høland Skytterlag;02;Akershus;10020;Akershus Skyttersamlag;DFS
10104;Urskog Skytterlag;02;Akershus;10020;Akershus Skyttersamlag;DFS
10077;Blaker Skytterlag;02;Akershus;10020;Akershus Skyttersamlag;DFS
10088;Leirsund Skytterlag;02;Akershus;10020;Akershus Skyttersamlag;DFS
10101;Sørum Skytterlag;02;Akershus;10020;Akershus Skyttersamlag;DFS
10080;Fet Skytterlag;02;Akershus;10020;Akershus Skyttersamlag;DFS
